TITLE = "CFFC: 2D Euler Equation Solution, Time Step/Iteration Level = 7560, Time = 0.60651227892078"
VARIABLES = "x" \ 
"y" \ 
"rho" \ 
"u" \ 
"v" \ 
"p" \ 
"rhoAvg" \ 
"uAvg" \ 
"vAvg" \ 
"pAvg" \ 
"ExactSoln_rho" \ 
"ExactSoln_u" \ 
"ExactSoln_v" \ 
"ExactSoln_p" \ 
"ValISrho" \ 
"ISrho" \ 
"ValISu" \ 
"ISu" \ 
"ValISv" \ 
"ISv" \ 
"ValISp" \ 
"ISp" \ 
"ResidualRho" \ 
"ResidualDvX" \ 
"ResidualDvY" \ 
"ResidualE" \ 
"dt" \ 
ZONE T =  "Block Number = 0" \ 
I = 50 \ 
J = 50 \ 
F = POINT 
  1.90392325610836e-01 -6.36640957571128e-01  6.24158885604445e-01 -1.55765938803752e+02 -3.35427466662079e+02 3.94551089712497e+04  6.24158885604445e-01 -1.55765938803752e+02 -3.35427466662079e+02 3.94551089712497e+04  6.24789567940890e-01 -1.56404084318566e+02 -3.35017988871217e+02 3.94778384591668e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  2.51318356622507e-01 -6.36292178135413e-01  6.54261201110172e-01 -1.47776183382984e+02 -3.26405934363254e+02 4.21356986287254e+04  6.54261201110172e-01 -1.47776183382984e+02 -3.26405934363254e+02 4.21356986287254e+04  6.54896603380418e-01 -1.48294784298258e+02 -3.26041067257967e+02 4.21665356499988e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  3.13003021739425e-01 -6.36108334213759e-01  6.82778353550546e-01 -1.39778927639796e+02 -3.17956906670686e+02 4.47222447216659e+04  6.82778353550546e-01 -1.39778927639796e+02 -3.17956906670686e+02 4.47222447216659e+04  6.83386623863113e-01 -1.40205396713032e+02 -3.17637806315845e+02 4.47568127579518e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  3.75288097265106e-01 -6.37182370250046e-01  7.10231340707908e-01 -1.32050996240465e+02 -3.09713714033800e+02 4.72545124966718e+04  7.10231340707908e-01 -1.32050996240465e+02 -3.09713714033800e+02 4.72545124966718e+04  7.10804898285538e-01 -1.32408033034145e+02 -3.09432951799027e+02 4.72908004452690e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  4.37678390541079e-01 -6.42994445764082e-01  7.37706539376335e-01 -1.25111899327825e+02 -3.00985024473772e+02 4.98295527187501e+04  7.37706539376335e-01 -1.25111899327825e+02 -3.00985024473772e+02 4.98295527187501e+04  7.38267496858340e-01 -1.25421515140699e+02 -3.00723180211096e+02 4.98683887212723e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  4.99820202556680e-01 -6.52480157840266e-01  7.64315229135123e-01 -1.18856960140455e+02 -2.92192321915503e+02 5.23605616916295e+04  7.64315229135123e-01 -1.18856960140455e+02 -2.92192321915503e+02 5.23605616916295e+04  7.64838493507507e-01 -1.19126476422158e+02 -2.91956957973098e+02 5.23990870811353e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  5.62079512578128e-01 -6.58279197621484e-01  7.87706527526810e-01 -1.12485051312144e+02 -2.84675056906947e+02 5.46148294368394e+04  7.87706527526810e-01 -1.12485051312144e+02 -2.84675056906947e+02 5.46148294368394e+04  7.88158194012003e-01 -1.12718185680512e+02 -2.84479277008944e+02 5.46493299222093e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  6.24354074384862e-01 -6.59410020692696e-01  8.08107412131363e-01 -1.05998952746291e+02 -2.78341351116048e+02 5.66031722638081e+04  8.08107412131363e-01 -1.05998952746291e+02 -2.78341351116048e+02 5.66031722638081e+04  8.08497393946937e-01 -1.06204433155196e+02 -2.78177260490419e+02 5.66338599297877e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  6.86059343863120e-01 -6.59293137914263e-01  8.26759114035768e-01 -9.98351437514547e+01 -2.72493065719269e+02 5.84389525697313e+04  8.26759114035768e-01 -9.98351437514547e+01 -2.72493065719269e+02 5.84389525697313e+04  8.27096785899752e-01 -1.00018520533743e+02 -2.72354475447512e+02 5.84662116842279e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
  7.47010916621608e-01 -6.59003201079117e-01  8.44061490613986e-01 -9.41033771681317e+01 -2.66931901546677e+02 6.01570161975622e+04  8.44061490613986e-01 -9.41033771681317e+01 -2.66931901546677e+02 6.01570161975622e+04  8.44354828006194e-01 -9.42686537739860e+01 -2.66814040315819e+02 6.01812322071424e+04 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0 1.00000000000000e+08 0  0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00014174847069552
