******************************************************************************
* DO NOT ALTER THIS FILE - IT CONTAINS DATA USED BY CLASS ROTOR67 and ROTOR37
*
* NOTE: THIS FILE MUST BE PRESENT WHEN USING THESE CLASSES
*******************************************************************************

ROTOR 37 FLOW DATA - STATION 1 (UPSTREAM) - mFLOW = 20.5114 kg/s (peak) & 19.36025 (stall) kg/s

101325      Pa  = PTref
288.15      K = TTref

** % Span **

97.0  94.0  90.0  85.0  80.0  75.0  70.0  65.0  58.0
51.0  44.0  37.0  30.0  25.0  20.0  15.0  10.0   5.0

** Radius **

25.4203  25.1765  24.8412  24.4450  24.0182  23.6220  23.2258  22.7990  22.2504  
21.6713  21.0922  20.5435  19.9644  19.5682  19.1414  18.7452  18.3490  17.9222

** PT1 / PTref **

0.9435   0.9762   0.9959   1.0020   1.0041   1.0048   1.0041   1.0034  1.0041
1.0048   1.0054   1.0054   1.0054   1.0054   1.0054   1.0054   1.0041  0.9864

** TT1 / TTref **

1.0008   1.0004   1.0004   1.0002   1.0000   1.0002   1.0006   1.0008   1.0004   
0.9996   0.9994   0.9990   0.9988   0.9988   0.9988   0.9987   0.9990   1.0004


ROTOR 67 FLOW DATA - STATION 1 (UPSTREAM) - mFLOW = 34.573 kg/s (peak)

101325 Pa = Pref
288.15 K = Tref


         RADIUS        P TOTAL/	       T TOTAL/	      P STATIC/	  FLOW ANGLE
     (CENTIMETERS)      P REF.		T REF.		P REF.	   (DEGREES)
	25.5194		0.9094		1.0012		0.8226		1.3
	25.3848		0.9338		0.9990		0.8219		0.5
	25.2501		0.9569		1.0013		0.8205		0.3
	25.1130		0.9704		1.0010		0.8205		0.4
	24.9758		0.9806		1.0012		0.8185		0.7
	24.2570		0.9982		1.0010		0.8158		0.9
	23.4798		0.9996		1.0008		0.8083		0.3
	22.6873		1.0003		1.0010		0.7995		0.0
	21.1988		1.0003		1.0000		0.7941		0.0
	19.6469		1.0003		0.9994		0.7921		0.0
	18.0645		1.0010		0.9994		0.7914		0.0
	16.4414		1.0003		0.9994		0.7921		0.0
	14.7396		1.0010		1.0004		0.7982		0.0
	12.9591		1.0010		0.9996		0.8084		0.0
	11.0084		1.0003		0.9994		0.8274		0.0
	10.0736		0.9948		1.0013		0.8383		1.0
	 9.8882		0.9853		1.0019		0.8410		0.6
	 9.7028		0.9690		1.0013		0.8430		0.6
	 9.5174		0.9459		1.0013		0.8444		1.1

ROTOR 67 FLOW DATA - STATION 1 (UPSTREAM) - mFLOW = 32.305 kg/s (stall)

101325 Pa = Pref
288.15 K = Tref


         RADIUS        P TOTAL/	       T TOTAL/	      P STATIC/	  FLOW ANGLE
     (CENTIMETERS)      P REF.		T REF.		P REF.	   (DEGREES)
     	25.5194		0.9223		1.0089		0.8543		1.7
	25.3848		0.9454		0.9956		0.8563		1.5
	25.2501		0.9610		1.0015		0.8543		0.0
	25.1130		0.9745		1.0035		0.8543		1.1
	24.9758		0.9813		1.0041		0.8543		0.6
	24.2570		0.9908		1.0050		0.8509	       -0.1
	23.4798		0.9942		1.0054		0.8462		0.0
	22.6873		0.9955		1.0042		0.8401		0.0
	21.1988		1.0016		0.9994		0.8247		0.0
	19.6469		1.0016		0.9992		0.8213		0.0
	18.0645		1.0016		0.9987		0.8206		0.0
	16.4414		1.0010		0.9990		0.8234		0.0
	14.7396		1.0023		0.9987		0.8315		0.1
	12.9591		1.0023		0.9992		0.8417		0.0
	11.0084		1.0016		0.9985		0.8581		0.0
	10.0736		0.9969		0.9998		0.8750		1.3
	 9.8882		0.9908		1.0008		0.8777		0.8
	 9.7028		0.9779		1.0013		0.8790		0.7
	 9.5174		0.9582		1.0006		0.8784		0.9

ROTOR 67 FLOW DATA - STATION 2 (DOWNSTREAM) - mFLOW = 34.573 kg/s (peak)

101325 Pa = Pref
288.15 K = Tref


    RADIUS        P TOTAL/       T TOTAL/      P STATIC/       FLOW ANGLE
(CENTIMETERS)      P REF.         T REF.         P REF.        (DEGREES)
   23.2258         1.6664         1.1903         1.2691           37.0
   22.0320         1.6549         1.1664         1.2378           34.9
   20.8280         1.6501         1.1612         1.2180           36.0
   19.6164         1.6426         1.1575         1.2024           35.7
   18.3947         1.6277         1.1556         1.1826           37.8
   17.1526         1.6202         1.1529         1.1609           39.6
   15.8902         1.6372         1.1556         1.1343           41.4
   14.6126         1.6406         1.1585         1.0962           44.5
   13.3299         1.6086         1.1535         1.0588           48.1

ROTOR 67 FLOW DATA - STATION 2 (DOWNSTREAM) - mFLOW = 32.305 kg/s (stall)

101325 Pa = Pref
288.15 K = Tref


   RADIUS        P TOTAL/       T TOTAL/      P STATIC/       FLOW ANGLE
(CENTIMETERS)      P REF.         T REF.         P REF.        (DEGREES)
   23.2258         1.7937         1.2269         1.3691           45.2
   22.0320         1.7665         1.2059         1.3242           43.6
   20.8280         1.7433         1.1936         1.2997           43.3
   19.6164         1.7243         1.1754         1.2752           41.8
   18.3947         1.7011         1.1737         1.2493           43.8
   17.1526         1.6821         1.1689         1.2235           45.1
