
 ROTOR 67 80% SPAN, PEAK EFF     ***** AVERAGE PASSAGE VELOCITY RESULTS *****
 SCAN  230
  WINDOW  NO.    AVG. PASS. VEL.   UNCERTAINTY OF AVG.   PASS-TO-PASS STD. DEV.   AVERAGE PASSAGE UNRESOLVED UNSTEADINESS           
    NO.  MEAS.    AVZ      AVT        UVZ       UNT         SDVZ        SDVT         AVZ', BOUNDS         AVT', BOUNDS              
                                    (95% CONF. LEVEL)     FROM AVG. PASS. VEL.      LOWER    UPPER      LOWER    UPPER              
     1   1158.   175.64     0.16      0.5       1.4         0.88        2.90         1.46    12.00        3.97    33.01             
     2   1130.   175.12     1.09      0.5       1.3         1.25        3.41         1.65    11.05        4.50    30.40             
     3   1093.   175.07    -0.13      0.5       1.4         0.94        3.26         1.62    11.46        4.40    31.53             
     4   1162.   175.17     0.94      0.5       1.3         1.08        2.35         1.40    11.29        3.82    31.05             
     5   1135.   175.03    -0.27      0.5       1.4         0.91        2.58         1.56    11.60        4.25    31.92             
     6   1153.   175.07     0.26      0.5       1.3         1.27        1.65         2.06    11.42        5.62    31.41             
     7   1142.   175.43     0.26      0.5       1.4         0.98        2.17         2.02    11.68        5.50    32.13             
     8   1104.   175.03     0.78      0.5       1.4         0.93        3.49         2.18    12.00        5.96    33.01             
     9   1110.   175.17     0.78      0.5       1.4         1.02        2.58         1.67    11.60        4.56    31.90             
    10   1111.   175.41     1.48      0.5       1.4         0.82        3.03         1.69    11.51        4.61    31.67             
    11   1121.   175.38     0.79      0.5       1.3         0.77        2.59         1.63    11.18        4.45    30.76             
    12   1142.   175.06     0.95      0.5       1.3         0.72        2.60         1.84    11.04        5.02    30.37             
    13   1122.   175.28    -0.50      0.5       1.3         1.04        3.38         1.64    11.30        4.46    31.07             
    14   1096.   175.23     1.18      0.5       1.4         1.51        2.99         1.94    11.62        5.48    31.97             
    15   1046.   175.03     0.30      0.5       1.4         0.91        3.38         1.79    11.66        4.88    32.07             
    16   1156.   175.22     1.38      0.5       1.3         0.91        2.90         1.55    11.00        4.24    30.25             
    17   1090.   174.92     0.70      0.5       1.3         1.12        2.91         1.75    11.09        4.78    30.52             
    18   1126.   175.16     1.50      0.5       1.3         1.17        2.90         1.60    11.40        4.36    31.37             
    19   1117.   175.45     0.77      0.5       1.4         0.82        3.02         1.66    11.95        4.52    32.87             
    20   1149.   175.49     2.02      0.5       1.3         1.42        3.05         1.54    11.12        4.19    30.58             
    21   1078.   175.53     1.60      0.5       1.3         0.73        2.65         1.16    10.56        3.16    29.05             
    22   1117.   175.54     1.42      0.5       1.3         0.91        3.11         1.76    10.96        4.81    30.14             
    23   1107.   176.02     0.74      0.5       1.4         1.06        2.49         1.15    11.46        3.12    31.52             
    24   1140.   176.14     0.78      0.5       1.3         0.84        3.38         0.92    11.35        2.50    31.21             
    25   1108.   175.68     0.41      0.5       1.3         0.69        2.81         1.88    11.01        5.12    30.29             
    26   1115.   176.32     1.02      0.5       1.3         1.10        2.38         1.58    11.12        4.32    30.60             
    27   1104.   176.24     1.41      0.5       1.4         1.06        1.98         1.83    11.53        5.00    31.72             
    28   1103.   176.52     1.13      0.5       1.4         1.12        3.39         1.95    12.01        5.32    33.03             
    29   1136.   176.23     0.30      0.5       1.4         0.94        3.88         2.09    11.76        5.70    32.35             
    30   1171.   176.52     1.98      0.5       1.4         1.61        2.85         1.41    11.80        3.85    32.45             
    31   1125.   176.21     1.39      0.5       1.4         1.27        3.14         2.58    11.92        7.07    32.79             
    32   1148.   176.50     1.75      0.5       1.3         0.86        2.70         1.05    11.09        2.87    30.51             
    33   1123.   176.41     0.71      0.5       1.3         1.19        2.80         1.68    11.21        4.73    30.83             
    34   1122.   176.35     1.64      0.5       1.4         0.97        2.17         2.37    11.82        6.49    32.53             
    35   1122.   176.18     1.51      0.5       1.3         0.79        2.17         1.27    11.38        3.47    31.29             
    36   1137.   176.05     1.39      0.5       1.3         1.25        3.32         1.50    11.27        4.09    31.00             
    37   1173.   176.40    -0.47      0.5       1.3         1.08        1.98         1.42    11.35        3.87    31.22             
    38   1173.   175.94     0.55      0.5       1.3         0.96        1.80         0.78    11.08        2.13    30.49             
    39   1169.   175.91     1.65      0.5       1.3         0.93        2.39         1.25    11.74        3.42    32.28             
    40   1167.   175.52     2.08      0.5       1.3         1.01        3.29         2.00    11.26        5.48    30.98             
    41   1125.   175.74     2.15      0.5       1.3         0.94        2.98         1.53    10.99        4.18    30.22             
    42   1129.   175.99     0.68      0.5       1.4         1.19        2.31         1.71    11.75        4.68    32.31             
    43   1164.   176.17     1.30      0.5       1.4         0.85        2.47         2.36    11.54        6.44    31.75             
    44   1134.   175.48     1.24      0.5       1.4         1.01        2.46         1.55    11.65        4.22    32.06             
    45   1115.   175.15     2.14      0.5       1.3         0.99        3.13         0.95    10.95        2.57    30.11             
    46   1158.   175.30     0.83      0.5       1.3         1.13        3.45         1.38    11.17        3.76    30.73             
    47   1124.   175.45     0.30      0.5       1.4         0.73        3.34         1.54    11.84        4.21    32.57             
