TITLE = "CFDkit+caboodle: 2D Chem2D Solution, Time Step/Iteration Level = 20601, Time = 0"
VARIABLES = "x" \ 
"y" \ 
"rho" \ 
"u" \ 
"v" \ 
"p" \ 
"k" \ 
"omega" \ 
"cN2" \ 
"cO2" \ 
"qflux_x" \ 
"qflux_y" \ 
"Tau_xx" \ 
"Tau_xy" \ 
"Tau_yy" \ 
"Tau_zz" \ 
"theta_x" \ 
"theta_y" \ 
"lambda_xx" \ 
"lambda_xy" \ 
"lambda_yy" \ 
"lambda_zz" \ 
"T" \ 
"M" \ 
"viscosity" \ 
"eddy viscosity" \ 
"thermal conduct" \ 
"Prandtl" \ 
"Sc_N2" \ 
"Le_N2" \ 
"Sc_O2" \ 
"Le_O2" \ 
"ywall" \ 
"yplus" \ 
"tauw" \ 
" utau" \ 
ZONE T =  "Block Number = 0" \ 
I = 20 \ 
J = 20 \ 
F = POINT 
  9.99932357500160e-02 -4.16003402959672e-04 1.1722642344e+00 7.3226739111e+01 0.0000000000e+00 1.0130762829e+05 2.2228402419e+01 5.5157171413e+05  7.6500000000e-01  2.3500000000e-01  0.0000000000e+00 0.0000000000e+00  0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00  0.0000000000e+00 0.0000000000e+00  0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.9994856636e+02 2.1061917260e-01 1.8505897524e-05 4.7242381138e-05 2.5694632600e-02 7.2827731355e-01 1.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 2.2162074407e-03  5.0889830707e+02 1.5404087820e+01  3.6249768340e+00
  9.9997745250e-02 -4.1600340296e-04 1.1722642344e+00 7.3226739111e+01 0.0000000000e+00 1.0130762829e+05 2.2228402419e+01 5.5157171413e+05  7.6500000000e-01  2.3500000000e-01  0.0000000000e+00 0.0000000000e+00  0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00  0.0000000000e+00 0.0000000000e+00  0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.9994856636e+02 2.1061917260e-01 1.8505897524e-05 4.7242381138e-05 2.5694632600e-02 7.2827731355e-01 1.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 2.2161982648e-03  5.0889642705e+02 1.5404101562e+01  3.6249784509e+00
  1.0000225475e-01 -4.1600340296e-04 1.1623474244e+00 7.7434990896e+01 -2.5063749196e-03 1.0016285762e+05 2.2298919675e+01 5.5157171413e+05  7.6500000000e-01  2.3500000000e-01  2.4010738070e+03 1.2262747791e+00  9.6529755422e+00 -1.5458270427e-01 -4.8259698660e+00 -4.8270056762e+00  4.9447455904e+03 2.5253770995e+00  7.2865560698e+00 -3.9339901628e-01 -2.9561051864e+01 -2.9563687907e+01 2.9908932042e+02 2.2304093238e-01 1.8464834747e-05 4.6991336188e-05 2.5635854225e-02 7.2829710253e-01 1.0000000000e+00 1.3730660146e+00 1.0000000000e+00 1.3730660146e+00 2.2161982648e-03  5.3193254572e+02 1.6898602052e+01  3.8129173026e+00
  1.0000676425e-01 -4.1600340296e-04 1.1616520026e+00 7.7013130786e+01 -3.6660576240e-03 1.0010651899e+05 2.2277347382e+01 5.5023047942e+05  7.6500000000e-01  2.3500000000e-01  -1.5667121736e+02 6.5460026159e-01  -7.5884064181e-01 -1.5142443729e-01 3.7998367840e-01 3.7885696341e-01  -3.2291821071e+02 1.3492098215e+00  -1.9185154859e+01 -3.8568554705e-01 -1.6284512871e+01 -1.6287382669e+01 2.9910004038e+02 2.2182188879e-01 1.8465347383e-05 4.7032155011e-05 2.5636588022e-02 7.2829685178e-01 1.0000000000e+00 1.3730664873e+00 1.0000000000e+00 1.3730664873e+00 2.2162074407e-03  5.2905077068e+02 1.6726796973e+01  3.7946204729e+00
  1.0001353312e-01 -4.1600340296e-04 1.1615865886e+00 7.7012279971e+01 -3.2514005384e-03 1.0010230525e+05 2.2183624473e+01 5.4745182329e+05  7.6500000000e-01  2.3500000000e-01  -4.0515972825e+00 1.9753213699e-01  3.2360607170e-02 -1.5162915968e-01 -1.5715949881e-02 -1.6644657289e-02  -8.3573397304e+00 4.0745490270e-01  -1.7096312107e+01 -3.8650814461e-01 -1.7218860968e+01 -1.7221228276e+01 2.9910429340e+02 2.2181795080e-01 1.8465550764e-05 4.7069348533e-05 2.5636879144e-02 7.2829675232e-01 1.0000000000e+00 1.3730666748e+00 1.0000000000e+00 1.3730666748e+00 2.2162384372e-03  5.2902036785e+02 1.6725717046e+01  3.7946048266e+00
  1.0002256137e-01 -4.1600340296e-04 1.1615826052e+00 7.7008981571e+01 -2.9099796085e-03 1.0010249840e+05 2.2069102398e+01 5.4446610652e+05  7.6500000000e-01  2.3500000000e-01  -2.0272018933e+00 1.6291878143e-01  -2.4745485456e-03 -1.5104244938e-01 1.6112225947e-03 8.6332595093e-04  -4.1827575917e+00 3.3615288745e-01  -1.7096366485e+01 -3.8512248142e-01 -1.7085948736e+01 -1.7087855696e+01 2.9910589625e+02 2.2180795784e-01 1.8465627412e-05 4.7082977529e-05 2.5636988859e-02 7.2829671484e-01 1.0000000000e+00 1.3730667455e+00 1.0000000000e+00 1.3730667455e+00 2.2163119547e-03  5.2901222651e+02 1.6724288874e+01  3.7944493227e+00
  1.0003611259e-01 -4.1600340296e-04 1.1615815459e+00 7.7007286044e+01 -2.5357474603e-03 1.0010248415e+05 2.1866923847e+01 5.3969929750e+05  7.6500000000e-01  2.3500000000e-01  -5.1802864152e-01 1.6894499495e-01  -1.2150303101e-03 -1.5114039245e-01 8.5088532748e-04 3.6414498262e-04  -1.0684170915e+00 3.4844351385e-01  -1.6936573570e+01 -3.8521373325e-01 -1.6931308140e+01 -1.6932548702e+01 2.9910612645e+02 2.2180316277e-01 1.8465638420e-05 4.7063643262e-05 2.5637004617e-02 7.2829670946e-01 1.0000000000e+00 1.3730667556e+00 1.0000000000e+00 1.3730667556e+00 2.2164913229e-03  5.2903933279e+02 1.6723331022e+01  3.7943423887e+00
  1.0005418679e-01 -4.1600340296e-04 1.1615825076e+00 7.7005038012e+01 -2.4297358105e-03 1.0010272168e+05 2.1645304487e+01 5.3455524886e+05  7.6500000000e-01  2.3500000000e-01  -6.0564059895e-01 1.6017089305e-01  -1.0822910798e-03 -1.5083176131e-01 6.5673185319e-04 4.2555922658e-04  -1.2483521963e+00 3.3014577700e-01  -1.6764628146e+01 -3.8419271005e-01 -1.6760198575e+01 -1.6760787409e+01 2.9910658854e+02 2.2179670757e-01 1.8465660517e-05 4.7035001749e-05 2.5637036247e-02 7.2829669866e-01 1.0000000000e+00 1.3730667760e+00 1.0000000000e+00 1.3730667760e+00 2.2168594618e-03  5.2910381059e+02 1.6721878675e+01  3.7941760535e+00
  1.0008131416e-01 -4.1600340296e-04 1.1615807877e+00 7.7002038740e+01 -3.1574208370e-03 1.0010273235e+05 2.1256927341e+01 5.2636771870e+05  7.6500000000e-01  2.3500000000e-01  -4.8562392032e-01 1.4227210710e-01  -1.1025505231e-03 -1.5076535319e-01 4.7524825193e-04 6.2730227118e-04  -9.9830024212e-01 2.9246969315e-01  -1.6463893146e+01 -3.8299828568e-01 -1.6459884969e+01 -1.6459498697e+01 2.9910706329e+02 2.2178822702e-01 1.8465683220e-05 4.6909484621e-05 2.5637068744e-02 7.2829668756e-01 1.0000000000e+00 1.3730667969e+00 1.0000000000e+00 1.3730667969e+00 2.2176883590e-03  5.2926073423e+02 1.6719359658e+01  3.7938930680e+00
  1.0011749471e-01 -4.1600340296e-04 1.1615823617e+00 7.6998122135e+01 -4.0357463233e-03 1.0010315849e+05 2.0837453802e+01 5.1742646549e+05  7.6500000000e-01  2.3500000000e-01  -5.5939855897e-01 1.2601534044e-01  -8.7288089856e-04 -1.5055210333e-01 2.0706138888e-04 6.6581950967e-04  -1.1467449061e+00 2.5832646048e-01  -1.6138490433e+01 -3.8138753127e-01 -1.6135754659e+01 -1.6134592506e+01 2.9910793131e+02 2.2177698606e-01 1.8465724728e-05 4.6778470785e-05 2.5637128160e-02 7.2829666726e-01 1.0000000000e+00 1.3730668352e+00 1.0000000000e+00 1.3730668352e+00 2.2193095032e-03  5.2958163977e+02 1.6715246373e+01  3.7934237837e+00
  1.0017179115e-01 -4.1600340296e-04 1.1615796058e+00 7.6992827620e+01 -5.9657644129e-03 1.0010320541e+05 2.0124352084e+01 5.0331130886e+05  7.6500000000e-01  2.3500000000e-01  -4.1958576827e-01 9.4429576709e-02  -9.1097348425e-04 -1.5039081187e-01 -2.8445318503e-06 9.1381801610e-04  -8.5399127602e-01 1.9219439935e-01  -1.5586315892e+01 -3.7825805713e-01 -1.5584031795e+01 -1.5581726236e+01 2.9910878115e+02 2.2176203507e-01 1.8465765367e-05 4.6444489822e-05 2.5637186331e-02 7.2829664739e-01 1.0000000000e+00 1.3730668726e+00 1.0000000000e+00 1.3730668726e+00 2.2228454430e-03  5.3030011912e+02 1.6707464441e+01  3.7925451466e+00
